CN,7/11/16 7:00,7/11/16 8:30,1.5,,,Z61603000000
RG,7/11/16 8:30,7/11/16 10:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
RG,7/11/16 10:00,7/11/16 12:00,1.5,,,X51102632000
RG,7/11/16 12:00,7/11/16 15:30,3.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CD,7/11/16 15:30,7/11/16 16:30,1,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CD,7/11/16 16:30,7/11/16 17:30,1,,,X51102632000
CD,7/12/16 5:30,7/12/16 7:00,1.5,,,X51102632000
RG,7/12/16 7:00,7/12/16 15:30,8,,,X51102632000
CD,7/12/16 15:30,7/12/16 17:00,1.5,,,X51102632000
CN,7/13/16 7:00,7/13/16 8:00,1,,,Z61603000000
RG,7/13/16 8:00,7/13/16 15:30,7,,,X51102632000
CD,7/13/16 15:30,7/13/16 17:30,2,,,X51102632000
RG,7/14/16 7:00,7/14/16 12:30,5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
RG,7/14/16 12:30,7/14/16 15:30,3,,,X51102632000
CD,7/14/16 15:30,7/14/16 18:00,2.5,,,X51102632000
CN,7/15/16 7:00,7/15/16 8:00,1,,,Z61603000000
RG,7/15/16 8:00,7/15/16 10:30,2.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
RG,7/15/16 10:30,7/15/16 12:00,1,,,X51102632000
LV,7/15/16 12:00,7/15/16 15:30,3.5,,,Z61633396000
CN,7/18/16 7:00,7/18/16 9:00,2,,,Z61603000000
RG,7/18/16 9:00,7/18/16 13:00,3.5,,,X51102632000
RG,7/18/16 13:00,7/18/16 15:30,2.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CD,7/18/16 15:30,7/18/16 17:30,2,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CN,7/19/16 7:00,7/19/16 8:00,1,,,Z61603000000
RG,7/19/16 8:00,7/19/16 15:30,7,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CD,7/19/16 15:30,7/19/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CN,7/20/16 7:00,7/20/16 8:30,1.5,,,Z61603000000
RG,7/20/16 8:30,7/20/16 11:30,2.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
RG,7/20/16 11:30,7/20/16 12:00,0.5,,,X51102700000
RG,7/20/16 12:00,7/20/16 15:30,3.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CD,7/20/16 15:30,7/20/16 17:30,2,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CN,7/21/16 7:00,7/21/16 8:00,1,,,Z61603000000
RG,7/21/16 8:00,7/21/16 15:30,7,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CD,7/21/16 15:30,7/21/16 16:30,1,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CN,7/22/16 7:00,7/22/16 8:00,1,,,Z61603000000
RG,7/22/16 8:00,7/22/16 15:30,7,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
CD,7/22/16 15:30,7/22/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T1381U63A
